packet size,time interval,dst port,label
894,0.00392460823059082,443,0
66,0.006853818893432617,59482,0
66,0.00498199462890625,443,0
56,0.0029249191284179688,59482,0
56,0.00443720817565918,59482,0
1466,0.008994340896606445,59482,0
142,0.003968715667724609,59482,0
54,0.0039196014404296875,443,0
144,0.007880449295043945,443,0
146,0.003898143768310547,443,0
475,0.003000020980834961,443,0
218,0.004881858825683594,443,0
58,0.03741931915283203,63686,0
54,0.0029420852661132812,8081,0
1478,0.002919912338256836,8081,0
128,0.004939079284667969,8081,0
54,0.004887819290161133,8081,0
58,0.0049932003021240234,63690,0
58,0.0039064884185791016,63684,0
54,0.0050699710845947266,8081,0
1478,0.005854606628417969,8081,0
128,0.0034711360931396484,8081,0
54,0.0029363632202148438,8081,0
54,0.0039055347442626953,8081,0
1216,0.005912065505981445,8081,0
54,0.0029366016387939453,8081,0
56,0.0049245357513427734,63686,0
58,0.005864381790161133,63688,0
54,0.004517793655395508,8081,0
1478,0.002924680709838867,8081,0
128,0.003945350646972656,8081,0
54,0.005876064300537109,8081,0
56,0.0039386749267578125,63690,0
56,0.002955913543701172,63684,0
66,0.0048828125,63689,0
54,0.007416963577270508,8081,0
1478,0.002925395965576172,8081,0
160,0.003960847854614258,8081,0
54,0.005859851837158203,8081,0
58,0.00498509407043457,63683,0
66,0.0039064884185791016,63685,0
54,0.0035827159881591797,8081,0
1478,0.007831811904907227,8081,0
160,0.0039560794830322266,8081,0
54,0.003916501998901367,8081,0
1478,0.007894515991210938,8081,0
112,0.0039031505584716797,8081,0
54,0.0029833316802978516,8081,0
56,0.004907846450805664,63688,0
56,0.006411075592041016,63689,0
56,0.0029447078704833984,63683,0
56,0.0029320716857910156,63685,0
66,0.004957675933837891,63687,0
54,0.0048906803131103516,8081,0
1478,0.003960847854614258,8081,0
112,0.004898786544799805,8081,0
54,0.0054361820220947266,8081,0
56,0.004889249801635742,63687,0
66,0.0221712589263916,63682,0
66,0.006013154983520508,443,0
149,0.009813070297241211,443,0
56,0.013736724853515625,57844,0
1086,0.007879972457885742,59482,0
85,0.004472970962524414,59482,0
54,0.002926349639892578,443,0
85,0.002928495407104492,443,0
56,0.005948543548583984,63682,0
1466,0.004881143569946289,63682,0
142,0.003969430923461914,63682,0
54,0.0029244422912597656,443,0
144,0.0074062347412109375,443,0
66,0.06895732879638672,8081,0
66,0.002925872802734375,8081,0
143,0.011777400970458984,57844,0
85,0.002925395965576172,57844,0
93,0.004472494125366211,57844,0
54,0.002931833267211914,443,0
93,0.005935192108154297,443,0
286,0.003922939300537109,59482,0
2878,0.004948616027832031,59482,0
54,0.009320259094238281,443,0
1466,0.004897356033325195,59482,0
54,0.002936124801635742,443,0
1466,0.008001089096069336,59482,0
1466,0.004904985427856445,59482,0
1233,0.0058629512786865234,59482,0
54,0.00593256950378418,443,0
93,0.01032876968383789,59482,0
54,0.010806560516357422,443,0
93,0.0029296875,443,0
66,0.006905317306518555,57844,0
78,0.006994962692260742,55724,0
82,0.0058743953704833984,443,0
56,0.011330604553222656,55724,0
66,0.02527785301208496,63692,0
